Time-stamp,Pressure_cuff_signal,Force_pulse,Signal_1,Signal_2,Signal_3
0.186,0,3696,53639,45767,0
0.187,0,3664,53655,45743,0
0.188,0,3664,53671,45759,0
0.189,0,3680,53639,45751,0
0.19,0,3680,53655,45767,0
0.191,0,3664,53663,45759,0
0.192,0,3664,53663,45783,0
0.193,0,3664,53639,45759,0
0.194,0,3680,53663,45759,0
0.195,0,3680,53631,45759,4
0.196,0,3680,53655,45775,0
0.197,0,3664,53671,45767,0
0.198,0,3664,53671,45767,0
0.199,0,3664,53663,45775,0
0.2,0,3664,53663,45783,0
0.201,0,3696,53671,45775,0
0.202,0,3664,53655,45775,0
0.203,0,3664,53663,45783,1
0.204,0,3664,53655,45767,0
0.205,0,3664,53647,45783,0
0.206,0,3664,53655,45783,0
0.207,0,3664,53679,45783,0
0.208,0,3696,53639,45783,0
0.209,0,3696,53671,45799,0
0.21,0,3664,53663,45783,0
0.211,0,3664,53655,45775,0
0.212,0,3664,53671,45783,0
0.213,0,3664,53679,45783,0
0.214,0,3664,53679,45775,0
0.215,0,3664,53671,45791,0
0.216,0,3696,53655,45775,0
0.217,0,3664,53655,45807,0
0.218,0,3648,53639,45799,0
0.219,0,3696,53647,45775,0
0.22,0,3664,53671,45775,0
0.221,0,3680,53647,45799,0
0.222,0,3664,53687,45807,0
0.223,0,3696,53663,45799,0
0.224,0,3664,53679,45799,0
0.225,0,3664,53679,45791,0
0.226,0,3664,53655,45783,0
0.227,0,3664,53663,45815,0
0.228,0,3664,53663,45775,0
0.229,0,3664,53671,45807,0
0.23,0,3664,53671,45767,0
0.231,0,3664,53647,45807,1
0.232,0,3664,53639,45815,0
0.233,0,3664,53687,45807,0
0.234,0,3632,53655,45823,2
0.235,0,3664,53663,45791,0
0.236,0,3664,53679,45791,0
0.237,0,3664,53671,45791,0
0.238,0,3664,53679,45823,0
0.239,0,3648,53655,45791,0
0.24,0,3648,53655,45783,0
0.241,0,3696,53663,45807,0
0.242,0,3632,53647,45799,0
0.243,0,3664,53663,45815,2
0.244,0,3664,53679,45783,0
0.245,0,3696,53671,45799,0
0.246,0,3696,53679,45815,1
0.247,0,3664,53663,45807,0
0.248,0,3648,53679,45791,0
0.249,0,3664,53679,45823,0
0.25,0,3664,53663,45831,0
0.251,0,3696,53647,45815,0
0.252,0,3648,53679,45799,0
0.253,0,3648,53663,45823,0
0.254,0,3664,53687,45823,1
0.255,0,3664,53695,45831,1
0.256,0,3664,53663,45807,0
0.257,0,3664,53679,45807,0
0.258,0,3664,53663,45807,0
0.259,0,3664,53679,45831,0
0.26,0,3664,53687,45799,0
0.261,0,3696,53687,45815,0
0.262,0,3632,53671,45815,0
0.263,0,3664,53647,45823,0
0.264,0,3664,53647,45815,0
0.265,0,3664,53671,45823,0
0.266,0,3696,53647,45815,0
0.267,0,3664,53671,45831,1
0.268,0,3664,53679,45807,0
0.269,0,3664,53679,45799,2
0.27,0,3648,53655,45815,0
0.271,0,3664,53679,45807,0
0.272,0,3664,53671,45815,0
0.273,0,3664,53687,45839,0
0.274,0,3664,53663,45807,0
0.275,0,3680,53671,45815,0
0.276,0,3664,53679,45839,0
0.277,0,3664,53679,45823,0
0.278,0,3664,53663,45799,0
0.279,0,3664,53671,45831,0
0.28,0,3680,53679,45823,0
0.281,0,3696,53679,45807,0
0.282,0,3664,53647,45815,7
0.283,0,3664,53679,45823,0
0.284,0,3664,53671,45807,0
0.285,0,3648,53639,45823,0
0.286,0,3664,53655,45847,0
0.287,0,3664,53655,45823,0
0.288,0,3664,53687,45831,0
0.289,0,3696,53663,45815,0
0.29,0,3664,53671,45815,0
0.291,0,3664,53655,45799,0
0.292,0,3680,53687,45831,0
