time,ppg
16.619,53039
16.62,53031
16.621,53047
16.622,53047
16.623,53047
16.624,53055
16.625,53039
16.626,53039
16.627,53055
16.628,53047
16.629,53055
16.63,53055
16.631,53039
16.632,53039
16.633,53047
16.634,53023
16.635,53007
16.636,53039
16.637,53047
16.638,53039
16.639,53055
16.64,53063
16.641,53023
16.642,53031
16.643,53015
16.644,53047
16.645,53063
16.646,53055
16.647,53039
16.648,53039
16.649,53047
16.65,53071
16.651,53047
16.652,53047
16.653,53039
16.654,53047
16.655,53023
16.656,53047
16.657,53063
16.658,53047
16.659,53039
16.66,53047
16.661,53023
16.662,53031
16.663,53031
16.664,53047
16.665,53039
16.666,53055
16.667,53023
16.668,53047
16.669,53039
16.67,53031
16.671,53039
16.672,53031
16.673,53039
16.674,53047
16.675,53039
16.676,53047
16.677,53015
16.678,53039
16.679,53039
16.68,53015
16.681,53023
16.682,53039
16.683,53039
16.684,53023
16.685,52999
16.686,53039
16.687,53055
16.688,53047
16.689,53007
16.69,53039
16.691,53039
16.692,53023
16.693,53023
16.694,53047
16.695,53039
16.696,53023
16.697,53039
16.698,53031
16.699,53039
16.7,53055
16.701,53023
16.702,52999
16.703,53047
16.704,53015
16.705,53023
16.706,53039
16.707,53039
16.708,53039
16.709,52991
16.71,53007
16.711,52999
16.712,53063
16.713,53031
16.714,53047
16.715,53039
16.716,52999
16.717,52999
16.718,53015
16.719,53031
16.72,53039
16.721,53015
16.722,53031
16.723,53015
16.724,53023
16.725,53007
16.726,52999
16.727,53023
16.728,53031
16.729,53039
16.73,53015
16.731,53007
16.732,53015
16.733,53015
16.734,53039
16.735,53015
16.736,53039
16.737,53031
16.738,53015
16.739,53023
16.74,53007
16.741,53007
16.742,53007
16.743,53015
16.744,53015
16.745,53015
16.746,53015
16.747,53015
16.748,53007
16.749,52999
16.75,53007
16.751,53015
16.752,53023
16.753,53007
16.754,53023
16.755,52991
16.756,53015
16.757,53031
16.758,52999
16.759,53047
16.76,53039
16.761,53039
16.762,53031
16.763,53023
16.764,53031
16.765,52999
16.766,53023
16.767,53007
16.768,53015
16.769,53023
16.77,52999
16.771,53007
16.772,53023
16.773,52983
16.774,53023
16.775,52999
16.776,52999
16.777,53007
16.778,53015
16.779,53015
16.78,53015
16.781,53015
16.782,53015
16.783,52999
16.784,53007
16.785,53007
16.786,53015
16.787,53015
16.788,52983
16.789,52983
16.79,53007
16.791,52991
16.792,53023
16.793,53015
16.794,53015
16.795,53015
16.796,52991
16.797,53007
16.798,53007
16.799,53015
16.8,53023
16.801,52999
16.802,53015
16.803,53047
16.804,53015
16.805,52999
16.806,52999
16.807,53047
16.808,53023
16.809,53023
16.81,53023
16.811,53031
16.812,53023
16.813,53039
16.814,53015
16.815,53031
16.816,53023
16.817,53031
16.818,53047
