sample_index,amplitude
0,53.891582857710475
1,46.613327016786045
2,39.38618092023168
3,32.36156916907827
4,25.65421814327167
5,19.332469676974366
6,13.418810690519923
7,7.899639006088148
8,2.7404162606936087
9,-2.0998261545947106
10,-6.658430992162821
11,-10.963501659546
12,-15.032340490072732
13,-18.875129263978746
14,-22.503338081343806
15,-25.93797102625915
16,-29.211866557804615
17,-32.36455010333619
18,-35.433521623616734
19,-38.44888360913124
20,-41.43567765762574
21,-44.42059545422153
22,-47.436608462295574
23,-50.52512217138482
24,-53.73925441053786
25,-57.14641916041005
26,-60.82218476930375
27,-64.82867649648603
28,-69.17737738321999
29,-73.78329835524194
30,-78.42235697024886
31,-82.70444599201647
32,-86.0731040119622
33,-87.84221998902798
34,-87.27734469978006
35,-83.71828209911264
36,-76.72154399502789
37,-66.18280986722287
38,-52.3936918802998
39,-36.006659850606525
40,-17.92022131007862
41,0.8725461165898064
42,19.4233748006038
43,36.92315325708726
44,52.741709415811805
45,66.42541146288328
46,77.67794670414285
47,86.34441122203938
48,92.40018193426646
49,95.93469101216827
50,97.12534408023049
51,96.20666838552798
52,93.44264505566598
53,89.10752898862133
54,83.4773244268125
55,76.83014125475836
56,69.44939071071875
57,61.622437899975125
58,53.62993405125178
59,45.72681704185607
60,38.12159543570696
61,30.961626947516923
62,24.32803133100499
63,18.238054707152365
64,12.651809954555453
65,7.485450807389947
66,2.6333066789970143
67,-2.0065164083720273
68,-6.513362844694246
69,-10.9373366527369
70,-15.301310638096114
71,-19.604491146923685
72,-23.824901018181457
73,-27.924315826391524
74,-31.85792193713395
75,-35.58526720085673
76,-39.07792799671144
77,-42.323413810432214
78,-45.32855027924669
79,-48.12505310860888
80,-50.77583771547551
81,-53.3768109386155
82,-56.04952627457041
83,-58.92503884012319
84,-62.12258957253602
85,-65.72438714291651
86,-69.74576720748
87,-74.10397852170136
88,-78.59288112334197
89,-82.86887717201245
90,-86.45126257193108
91,-88.74463476431143
92,-89.09463313921425
93,-86.87993004942494
94,-81.62621632594922
95,-73.11306719979359
96,-61.438516738553524
97,-47.01498405185337
98,-30.496714373043986
99,-12.66818994390892
