sample_index,amplitude
0,100.34615859732395
1,87.90435577593125
2,75.38226311840467
3,62.930807874981376
4,50.71125836341609
5,38.89056743113155
6,27.62482677288136
7,17.03551866623452
8,7.188874144385662
9,-1.913116861869581
10,-10.328810533396348
11,-18.163290709771527
12,-25.547636068118116
13,-32.613912205184675
14,-39.47145327407903
15,-46.191682219237926
16,-52.80671373421898
17,-59.320369191521465
18,-65.72326731331641
19,-72.00451932061047
20,-78.16026738220644
21,-84.20356811701674
22,-90.17703159553588
23,-96.1642536231807
24,-102.29349123409844
25,-108.72770537012588
26,-115.63607618476836
27,-123.14364464576778
28,-131.26016678630424
29,-139.79536555060238
30,-148.27698952635035
31,-155.90158099010776
32,-161.55435469073691
33,-163.92190231455226
34,-161.69346378277473
35,-153.81431669821737
36,-139.72640444971364
37,-119.5199622258404
38,-93.94205241576283
39,-64.2608305269352
40,-32.03897329835386
41,1.1051240109809415
42,33.6817717543025
43,64.4287224256808
44,92.33258500030482
45,116.61041284444292
46,136.6955737168798
47,152.24908877573046
48,163.1797162312548
49,169.63866973700158
50,171.97369415588165
51,170.65708796723348
52,166.2135748614665
53,159.16625964478737
54,150.00666073193514
55,139.1847005201713
56,127.10997481166795
57,114.15882632594843
58,100.68412344418518
59,87.02001833884476
60,73.47343049158013
61,60.30442730601112
62,47.70680343313127
63,35.79877974548743
64,24.62694659043689
65,14.180050092023661
66,4.405627343469259
67,-4.7758921481128445
68,-13.46057224980466
69,-21.75197512178809
70,-29.75146292525618
71,-37.546468232548484
72,-45.19739235017492
73,-52.72620538835492
74,-60.11167116371059
75,-67.29534755990258
76,-74.19776593439839
77,-80.73902280935128
78,-86.85852117928953
79,-92.53371339197973
80,-97.7989600966407
81,-102.76110475809801
82,-107.6052957930499
83,-112.58501656010557
84,-117.99008065181606
85,-124.08651974873766
86,-131.0285625369951
87,-138.7569830737659
88,-146.91163957228153
89,-154.78767164502278
90,-161.35540416270368
91,-165.35285132193263
92,-165.44889763063568
93,-160.4600147649212
94,-149.58210595905064
95,-132.57816875525972
96,-109.85784010449139
97,-82.41214542808041
98,-51.62092758963829
99,-19.001730275320448
