peak_number,peak_index,peak_time,peak_amplitude
1,6,16.223008005336965,419.7599952024007
2,134,17.503178785858875,46.42860617230453
3,246,18.623328218815548,102.31470500008885
4,361,19.773481654440705,116.56065965655746
5,478,20.943637758511514,148.5842691814541
6,597,22.133796531027976,183.26567047842622
7,718,23.343957971990097,202.08676199918264
8,837,24.534116744506562,189.75627705555885
9,956,25.724275517023024,222.7738936866763
10,1073,26.894431621093837,235.4585678843483
11,1191,28.07458905938747,260.403527558747
12,1304,29.20473982656697,200.90014647712363
13,1421,30.374895930637784,184.07769704135387
