time,ppg
16.619,44447
16.62,44447
16.621,44447
16.622,44455
16.623,44447
16.624,44447
16.625,44463
16.626,44455
16.627,44463
16.628,44439
16.629,44455
16.63,44439
16.631,44471
16.632,44447
16.633,44447
16.634,44455
16.635,44455
16.636,44455
16.637,44431
16.638,44447
16.639,44447
16.64,44439
16.641,44423
16.642,44431
16.643,44455
16.644,44447
16.645,44447
16.646,44455
16.647,44423
16.648,44455
16.649,44455
16.65,44447
16.651,44439
16.652,44447
16.653,44447
16.654,44455
16.655,44463
16.656,44463
16.657,44439
16.658,44463
16.659,44447
16.66,44439
16.661,44447
16.662,44439
16.663,44463
16.664,44463
16.665,44447
16.666,44447
16.667,44447
16.668,44439
16.669,44447
16.67,44463
16.671,44431
16.672,44439
16.673,44455
16.674,44431
16.675,44439
16.676,44463
16.677,44439
16.678,44439
16.679,44431
16.68,44455
16.681,44431
16.682,44431
16.683,44439
16.684,44439
16.685,44447
16.686,44415
16.687,44447
16.688,44423
16.689,44439
16.69,44431
16.691,44431
16.692,44439
16.693,44439
16.694,44439
16.695,44407
16.696,44415
16.697,44463
16.698,44423
16.699,44423
16.7,44431
16.701,44423
16.702,44431
16.703,44431
16.704,44423
16.705,44399
16.706,44439
16.707,44439
16.708,44415
16.709,44423
16.71,44423
16.711,44439
16.712,44455
16.713,44407
16.714,44407
16.715,44407
16.716,44431
16.717,44415
16.718,44407
16.719,44447
16.72,44423
16.721,44415
16.722,44415
16.723,44423
16.724,44415
16.725,44407
16.726,44431
16.727,44407
16.728,44407
16.729,44399
16.73,44423
16.731,44415
16.732,44407
16.733,44391
16.734,44407
16.735,44407
16.736,44399
16.737,44375
16.738,44399
16.739,44415
16.74,44383
16.741,44407
16.742,44399
16.743,44399
16.744,44415
16.745,44399
16.746,44407
16.747,44407
16.748,44423
16.749,44399
16.75,44399
16.751,44423
16.752,44399
16.753,44415
16.754,44399
16.755,44391
16.756,44423
16.757,44407
16.758,44415
16.759,44383
16.76,44391
16.761,44399
16.762,44407
16.763,44399
16.764,44399
16.765,44391
16.766,44415
16.767,44399
16.768,44391
16.769,44415
16.77,44391
16.771,44399
16.772,44383
16.773,44391
16.774,44391
16.775,44391
16.776,44383
16.777,44383
16.778,44359
16.779,44391
16.78,44407
16.781,44383
16.782,44383
16.783,44383
16.784,44383
16.785,44391
