Time-stamp,Pressure_cuff_signal,Signal_2
16.44,11152,44511
16.441,11152,44479
16.442,11184,44535
16.443,11152,44511
16.444,11200,44519
16.445,11168,44527
16.446,11136,44503
16.447,11152,44527
16.448,11152,44503
16.449,11136,44527
16.45,11152,44511
16.451,11152,44487
16.452,11168,44487
16.453,11120,44511
16.454,11152,44511
16.455,11136,44519
16.456,11120,44511
16.457,11184,44519
16.458,11152,44503
16.459,11120,44503
16.46,11184,44511
16.461,11152,44519
16.462,11136,44487
16.463,11152,44519
16.464,11152,44519
16.465,11184,44511
16.466,11120,44487
16.467,11120,44495
16.468,11152,44495
16.469,11152,44511
16.47,11152,44519
16.471,11152,44511
16.472,11168,44487
16.473,11184,44495
16.474,11152,44495
16.475,11152,44511
16.476,11152,44495
16.477,11184,44471
16.478,11136,44479
16.479,11136,44479
16.48,11152,44503
16.481,11152,44479
16.482,11184,44479
16.483,11184,44511
16.484,11152,44495
16.485,11152,44487
16.486,11152,44479
16.487,11152,44487
16.488,11152,44487
16.489,11152,44503
16.49,11184,44479
16.491,11152,44487
16.492,11200,44487
16.493,11184,44487
16.494,11184,44487
16.495,11184,44487
16.496,11120,44487
16.497,11168,44495
16.498,11136,44487
16.499,11104,44495
16.5,11184,44503
16.501,11168,44503
16.502,11120,44487
16.503,11136,44495
16.504,11184,44479
16.505,11152,44479
16.506,11152,44479
16.507,11152,44455
16.508,11184,44447
16.509,11184,44487
16.51,11136,44455
16.511,11152,44479
16.512,11184,44479
16.513,11168,44463
16.514,11152,44471
16.515,11152,44487
16.516,11152,44487
16.517,11184,44495
16.518,11136,44471
16.519,11120,44479
16.52,11184,44447
16.521,11184,44455
16.522,11152,44455
16.523,11152,44471
16.524,11152,44495
16.525,11152,44479
16.526,11168,44463
16.527,11152,44479
16.528,11136,44479
16.529,11136,44471
16.53,11168,44463
16.531,11136,44487
16.532,11136,44447
16.533,11152,44463
16.534,11184,44471
16.535,11152,44479
16.536,11120,44471
16.537,11136,44479
16.538,11152,44479
16.539,11136,44487
16.54,11136,44471
16.541,11152,44479
16.542,11152,44479
16.543,11152,44471
16.544,11152,44455
16.545,11136,44463
16.546,11152,44455
16.547,11184,44479
16.548,11152,44487
16.549,11152,44471
16.55,11184,44463
16.551,11152,44447
16.552,11184,44487
16.553,11152,44463
16.554,11152,44463
16.555,11152,44463
16.556,11152,44455
16.557,11152,44455
16.558,11168,44471
16.559,11168,44447
16.56,11136,44479
16.561,11152,44471
16.562,11184,44455
16.563,11152,44455
16.564,11168,44479
16.565,11184,44463
16.566,11136,44471
16.567,11152,44471
16.568,11136,44471
16.569,11152,44471
16.57,11152,44479
16.571,11152,44479
16.572,11152,44463
16.573,11216,44447
16.574,11152,44479
16.575,11184,44439
16.576,11120,44447
16.577,11152,44447
16.578,11136,44463
16.579,11168,44455
16.58,11136,44471
16.581,11184,44479
16.582,11184,44463
16.583,11152,44463
16.584,11184,44455
16.585,11200,44479
16.586,11120,44471
16.587,11152,44471
16.588,11152,44455
16.589,11152,44471
16.59,11232,44471
16.591,11168,44471
16.592,11184,44463
16.593,11152,44447
16.594,11168,44463
16.595,11152,44447
16.596,11136,44479
16.597,11168,44471
16.598,11136,44447
16.599,11168,44479
16.6,11120,44455
16.601,11152,44479
16.602,11184,44455
16.603,11152,44463
16.604,11152,44463
16.605,11184,44455
16.606,11168,44447
16.607,11184,44455
16.608,11168,44479
16.609,11184,44471
16.61,11152,44455
16.611,11152,44447
16.612,11184,44455
16.613,11184,44447
16.614,11184,44463
16.615,11184,44439
16.616,11152,44447
16.617,11184,44455
16.618,11200,44455
16.619,11152,44447
16.62,11168,44447
16.621,11152,44447
16.622,11184,44455
16.623,11184,44447
16.624,11152,44447
16.625,11152,44463
16.626,11136,44455
16.627,11152,44463
16.628,11152,44439
16.629,11168,44455
16.63,11152,44439
16.631,11200,44471
16.632,11152,44447
16.633,11152,44447
16.634,11152,44455
16.635,11152,44455
16.636,11152,44455
16.637,11184,44431
16.638,11152,44447
16.639,11184,44447
16.64,11184,44439
16.641,11184,44423
16.642,11184,44431
16.643,11152,44455
16.644,11152,44447
16.645,11152,44447
16.646,11152,44455
16.647,11136,44423
16.648,11152,44455
16.649,11136,44455
16.65,11152,44447
16.651,11152,44439
16.652,11152,44447
16.653,11120,44447
16.654,11184,44455
16.655,11152,44463
16.656,11152,44463
16.657,11152,44439
16.658,11152,44463
16.659,11152,44447
16.66,11152,44439
16.661,11184,44447
16.662,11136,44439
16.663,11184,44463
16.664,11120,44463
16.665,11184,44447
16.666,11216,44447
16.667,11152,44447
16.668,11168,44439
16.669,11152,44447
16.67,11152,44463
16.671,11152,44431
16.672,11152,44439
16.673,11120,44455
16.674,11152,44431
16.675,11152,44439
16.676,11168,44463
16.677,11136,44439
16.678,11152,44439
16.679,11152,44431
16.68,11152,44455
16.681,11152,44431
16.682,11152,44431
16.683,11120,44439
16.684,11168,44439
16.685,11152,44447
16.686,11152,44415
16.687,11136,44447
16.688,11152,44423
16.689,11136,44439
16.69,11152,44431
16.691,11152,44431
16.692,11136,44439
16.693,11168,44439
16.694,11168,44439
16.695,11120,44407
16.696,11152,44415
16.697,11152,44463
16.698,11200,44423
16.699,11152,44423
16.7,11216,44431
16.701,11184,44423
16.702,11184,44431
16.703,11136,44431
16.704,11184,44423
16.705,11152,44399
16.706,11152,44439
16.707,11136,44439
16.708,11152,44415
16.709,11184,44423
16.71,11136,44423
16.711,11184,44439
16.712,11152,44455
16.713,11232,44407
16.714,11152,44407
16.715,11168,44407
16.716,11168,44431
16.717,11184,44415
16.718,11168,44407
16.719,11184,44447
16.72,11168,44423
16.721,11184,44415
16.722,11216,44415
16.723,11184,44423
16.724,11184,44415
16.725,11168,44407
16.726,11152,44431
16.727,11168,44407
16.728,11184,44407
16.729,11216,44399
16.73,11152,44423
16.731,11184,44415
16.732,11136,44407
16.733,11184,44391
16.734,11168,44407
