time,ppg
16.619,3015
16.62,3000
16.621,3004
16.622,3015
16.623,3007
16.624,3013
16.625,2999
16.626,3013
16.627,3015
16.628,3013
16.629,3015
16.63,3001
16.631,3012
16.632,3017
16.633,3013
16.634,3007
16.635,3000
16.636,3012
16.637,3015
16.638,3016
16.639,3015
16.64,3001
16.641,3013
16.642,3015
16.643,3016
16.644,3013
16.645,3003
16.646,3015
16.647,3007
16.648,3007
16.649,3027
16.65,3000
16.651,3015
16.652,3005
16.653,3014
16.654,3025
16.655,3001
16.656,3013
16.657,3013
16.658,3013
16.659,3018
16.66,3000
16.661,3015
16.662,3015
16.663,3004
16.664,3014
16.665,2998
16.666,3013
16.667,3015
16.668,3017
16.669,3003
16.67,3001
16.671,3013
16.672,3007
16.673,3015
16.674,3003
16.675,3018
16.676,3014
16.677,3007
16.678,3015
16.679,3001
16.68,3015
16.681,3007
16.682,3013
16.683,3015
16.684,3000
16.685,3007
16.686,3013
16.687,3007
16.688,3013
16.689,2996
16.69,3008
16.691,3014
16.692,3013
16.693,3017
16.694,2999
16.695,3013
16.696,3019
16.697,3014
16.698,3015
16.699,3001
16.7,3013
16.701,3015
16.702,3016
16.703,3017
16.704,3001
16.705,3017
16.706,3007
16.707,3012
16.708,3003
16.709,3005
16.71,3007
16.711,3013
16.712,3013
16.713,3001
16.714,3013
16.715,3013
16.716,3015
16.717,3017
16.718,2999
16.719,3015
16.72,3031
16.721,3007
16.722,3015
16.723,3000
16.724,3015
16.725,3014
16.726,3013
16.727,3013
16.728,2999
16.729,3008
16.73,3019
16.731,3016
16.732,3013
16.733,2991
16.734,3015
16.735,3013
16.736,3013
16.737,3013
16.738,2999
16.739,3007
16.74,3033
16.741,3005
16.742,3012
16.743,2999
16.744,3014
16.745,3016
16.746,3007
16.747,3015
16.748,2997
16.749,3013
16.75,3008
16.751,3007
16.752,3015
16.753,2997
16.754,3018
16.755,3012
16.756,3015
16.757,2995
16.758,2997
16.759,3005
16.76,3004
16.761,3006
16.762,3001
16.763,2995
16.764,3007
16.765,3007
16.766,3017
16.767,2999
16.768,3001
16.769,3013
16.77,3013
16.771,3007
16.772,3001
16.773,3005
16.774,3014
16.775,3015
16.776,3007
16.777,3001
16.778,3003
16.779,3017
16.78,3007
16.781,3015
16.782,2999
16.783,3014
16.784,3016
16.785,3013
16.786,3015
16.787,3000
16.788,3007
16.789,3007
16.79,3013
16.791,3016
16.792,3001
16.793,3015
16.794,3014
16.795,3015
16.796,3016
16.797,3000
16.798,3016
16.799,3015
16.8,3017
16.801,3003
16.802,3015
16.803,3018
16.804,3021
16.805,3019
16.806,3004
16.807,3016
16.808,3017
16.809,3019
16.81,3016
16.811,3005
16.812,3016
16.813,3019
16.814,3019
16.815,3019
16.816,3007
16.817,3019
16.818,3019
16.819,3027
16.82,3020
16.821,3013
16.822,3021
16.823,3021
16.824,3023
16.825,3027
16.826,3012
16.827,3029
16.828,3032
16.829,3026
16.83,3032
16.831,3013
16.832,3029
16.833,3027
16.834,3029
16.835,3029
16.836,3018
16.837,3032
16.838,3029
16.839,3026
16.84,3031
16.841,3022
16.842,3033
16.843,3029
16.844,3025
16.845,3033
16.846,3016
16.847,3031
16.848,3032
16.849,3035
16.85,3037
16.851,3019
16.852,3031
16.853,3031
16.854,3033
16.855,3031
16.856,3022
16.857,3032
16.858,3033
16.859,3035
16.86,3034
16.861,3022
16.862,3033
16.863,3036
16.864,3033
16.865,3028
16.866,3021
16.867,3037
16.868,3032
16.869,3036
16.87,3027
16.871,3022
16.872,3036
16.873,3035
16.874,3035
16.875,3027
16.876,3029
16.877,3033
16.878,3035
16.879,3039
16.88,3027
16.881,3038
16.882,3036
16.883,3037
16.884,3037
16.885,3028
16.886,3037
16.887,3035
16.888,3037
16.889,3043
16.89,3027
16.891,3039
16.892,3038
16.893,3043
16.894,3045
16.895,3028
16.896,3043
16.897,3036
16.898,3041
16.899,3039
16.9,3031
16.901,3037
16.902,3042
16.903,3043
16.904,3044
16.905,3026
16.906,3037
16.907,3042
16.908,3043
16.909,3043
16.91,3029
16.911,3039
16.912,3043
16.913,3037
16.914,3043
16.915,3032
16.916,3043
16.917,3043
16.918,3043
16.919,3037
16.92,3033
16.921,3039
16.922,3043
16.923,3038
16.924,3031
16.925,3039
16.926,3037
16.927,3043
16.928,3043
16.929,3031
16.93,3043
16.931,3043
16.932,3045
16.933,3046
16.934,3031
16.935,3039
16.936,3042
16.937,3032
16.938,3043
16.939,3030
16.94,3037
16.941,3035
16.942,3039
16.943,3039
16.944,3029
16.945,3042
16.946,3045
16.947,3043
16.948,3043
16.949,3031
16.95,3042
16.951,3042
16.952,3036
16.953,3043
16.954,3029
16.955,3043
16.956,3037
16.957,3035
16.958,3043
16.959,3028
16.96,3039
16.961,3043
16.962,3039
16.963,3039
16.964,3029
16.965,3038
16.966,3042
16.967,3038
16.968,3043
16.969,3029
16.97,3043
16.971,3036
16.972,3043
16.973,3031
16.974,3035
16.975,3038
16.976,3043
16.977,3043
16.978,3029
16.979,3033
16.98,3036
16.981,3037
16.982,3043
16.983,3033
16.984,3039
16.985,3045
16.986,3043
16.987,3044
16.988,3031
16.989,3043
16.99,3037
16.991,3043
16.992,3045
16.993,3031
16.994,3039
16.995,3037
16.996,3039
