sample_index,amplitude
0,2.3925455471572143
1,1.2443756647568651
2,0.13289284120777192
3,-0.9142135130442243
4,-1.8806653961456918
5,-2.76174006451099
6,-3.5628479230929746
7,-4.2954432202092105
8,-4.971483115353735
9,-5.599464992211025
10,-6.184048379009849
11,-6.728536729823169
12,-7.237750199785952
13,-7.7194038617001475
14,-8.183682001759829
15,-8.641467771251987
16,-9.101849674502512
17,-9.569726607192733
18,-10.044250269201745
19,-10.518409413440889
20,-10.979967926523976
21,-11.414380328467042
22,-11.809916376596354
23,-12.163260625111436
24,-12.482203006313673
25,-12.783140578669588
26,-13.08435553136909
27,-13.398032640140313
28,-13.723281415312337
29,-14.041238883281741
30,-14.313105211915584
31,-14.481480113607992
32,-14.474107201964108
33,-14.20893071258101
34,-13.600963708435172
35,-12.572454517608312
36,-11.06641532229033
37,-9.060963332016602
38,-6.580321903634213
39,-3.698949512269033
40,-0.537366918676334
41,2.7499535381532287
42,5.993032326210961
43,9.027983942261242
44,11.717447539025605
45,13.965979645246671
46,15.727681220889723
47,17.004559560878445
48,17.83627818376736
49,18.284339748913997
50,18.41521185784369
51,18.287200755711165
52,17.944155002624914
53,17.415777056776147
54,16.721979666840834
55,15.878399916536905
56,14.901004565619004
57,13.808980663454735
58,12.626266394013838
59,11.382177157757623
60,10.110367624158021
61,8.84499431632088
62,7.615144676895217
63,6.440679718851495
64,5.331541038803228
65,4.289886293308606
66,3.312998042060302
67,2.3952852704015393
68,1.5290531050488696
69,0.7048890265277424
70,-0.08741194202973486
71,-0.8573167782312866
72,-1.612081357102764
73,-2.3558233351846964
74,-3.0890382194374464
75,-3.8084514594579915
76,-4.507517772896404
77,-5.1777633550084765
78,-5.810688247920136
79,-6.39995418351971
80,-6.9437361358425145
81,-7.446703273137898
82,-7.920587016104929
83,-8.382506304071319
84,-8.851217958751674
85,-9.342343388273582
86,-9.863379998331803
87,-10.408618523889842
88,-10.954339795916894
89,-11.455533339872437
90,-11.845715416378054
91,-12.040823985177012
92,-11.947133814141052
93,-11.472678729632955
94,-10.541622476250383
95,-9.109874334089959
96,-7.178161946563609
97,-4.798122219120321
98,-2.068918614850199
99,0.8750418954190855
